,Coil_Number,UTS,EL,LYS,AIM_QLTY
0,COIL_88540102,358,41,282,T01244
1,COIL_95960741,501,40,432,T01049
2,COIL_90450191,313,44,245,TCA001
3,COIL_95880590,606,24,532,T01302
4,COIL_96931041,372,39,297,I09499
5,COIL_96410741,357,39,288,I09499
6,COIL_92540771,481,36,398,J10004
7,COIL_91550251,306,45,241,T01118
8,COIL_90020532,523,27,435,T01009
9,COIL_95500041,366,40,293,T01244
10,COIL_88370221,403,33,301,I09500
11,COIL_97780201,308,46,246,T01087
12,COIL_89290701,480,38,420,T01260
13,COIL_97150861,478,29,403,D04016
14,COIL_90040701,602,26,525,J15004
15,COIL_92990441,430,30,352,I17021
16,COIL_94450522,410,38,341,I11496
17,COIL_96450521,372,37,296,I11496
18,COIL_87800891,397,33,277,I09500
19,COIL_90450221,312,44,247,T01283
20,COIL_95880620,638,23,549,T01302
21,COIL_97320761,483,27,367,I17007
22,COIL_88270711,478,30,363,I17140
23,COIL_92100551,473,39,370,J10010
24,COIL_88430161,361,40,280,T01018
25,COIL_96560531,307,46,280,T01560
26,COIL_91990701,491,24,400,I17007
27,COIL_90660501,585,28,510,I17140
28,COIL_92150461,422,30,346,T01564
29,COIL_97790581,559,28,496,E13001
30,COIL_90740171,310,47,269,T01378
31,COIL_96970891,348,41,288,T01244
32,COIL_95210152,407,31,345,T01382
33,COIL_94870141,322,40,269,T01381
34,COIL_89540370,675,20,557,T16013
35,COIL_94261152,490,30,377,IHS001
36,COIL_97330551,470,30,399,I17140
37,COIL_93100191,399,38,328,I11496
38,COIL_90240771,344,44,272,J06005
39,COIL_95580371,348,40,274,T01244
40,COIL_92920231,521,25,459,I17140
41,COIL_90510321,335,44,248,T01244
42,COIL_91040461,593,28,532,I17140
43,COIL_97520441,349,40,281,T01018
44,COIL_89070352,360,35,283,I09500
45,COIL_97670191,342,42,271,T01244
46,COIL_90740281,306,46,243,T01087
47,COIL_95770551,481,30,401,I17007
48,COIL_92150791,392,39,307,I11498
49,COIL_92710951,553,24,480,E13001
50,COIL_89690191,312,45,246,T01118
51,COIL_92800011,350,40,276,I09499
52,COIL_97850171,308,46,247,T01283
53,COIL_92110221,319,43,255,T01560
54,COIL_96060891,421,30,334,T01514
55,COIL_89640341,479,34,392,I17007
56,COIL_95060530,372,38,305,I11498
57,COIL_96520612,344,43,257,T01318
58,COIL_88500701,530,25,464,I17007
59,COIL_90550582,465,34,389,J10007
60,COIL_90910471,487,25,349,T01061
61,COIL_88970291,312,46,272,T01560
62,COIL_92880861,526,29,465,E13001
63,COIL_90080531,460,36,370,J10007
64,COIL_96210201,345,37,265,T01382
65,COIL_93140170,309,47,259,T01262
66,COIL_97470491,639,22,524,T16013
67,COIL_93670610,370,39,300,I09499
68,COIL_89690221,341,38,260,T01202
69,COIL_96440221,305,44,242,T01283
70,COIL_88040891,520,31,451,TCA003
71,COIL_96070191,350,37,262,THB001
72,COIL_93470611,376,39,319,I09499
73,COIL_88430521,378,40,298,THB002
74,COIL_97080521,517,32,416,A19001
75,COIL_92880742,526,28,465,E13001
76,COIL_91080731,526,30,417,A19001
77,COIL_90100231,304,46,243,TCA001
78,COIL_90740821,380,37,302,I11496
79,COIL_96880851,418,38,344,T01099
80,COIL_88570431,563,31,467,D06007
81,COIL_92460131,313,45,251,T01283
82,COIL_97160251,307,44,245,TCA001
83,COIL_96900860,384,38,307,I09499
84,COIL_95470201,306,45,243,T01283
85,COIL_89900342,451,32,385,I17021
86,COIL_96280250,485,38,426,T01049
87,COIL_88630201,362,37,305,T01063
88,COIL_89220771,483,35,389,J10007
89,COIL_93620561,365,40,298,T01244
90,COIL_96360591,388,38,312,I11496
91,COIL_97310921,1039,11,687,T13178
92,COIL_94460640,461,40.5,380.5,T01049
93,COIL_91310731,499,35,444,J10004
94,COIL_96620201,316,43,249,T01381
95,COIL_97570941,479,32,411,TCA003
96,COIL_93260220,366,40,258,I09499
97,COIL_91390951,484,30,418,E08000
98,COIL_88900641,467,30,326,I17003
99,COIL_91221002,477,29,404,I17016
100,COIL_92780861,465,28,347,I17472
101,COIL_93030261,387,32,301,I09500
102,COIL_95680741,449,35,392,E07000
103,COIL_92330171,360,37,282,T01382
104,COIL_97140411,464,28,352,I17007
105,COIL_94910821,393,35,306,I09499
106,COIL_89710611,430,34,360,D04004
107,COIL_90430101,311,46,253,T01378
108,COIL_94760331,471,31,340,A12010
109,COIL_97110821,358,38,292,I09499
110,COIL_89150611,385,39,322,K01002
111,COIL_97700611,422,36,339,I09500
112,COIL_92840381,336,40,251,T01202
113,COIL_89440371,470,28,409,I17020
114,COIL_92590191,308,46,243,TCA001
115,COIL_91310881,631,19,446,T13515
116,COIL_93800411,574,27,515,E13001
117,COIL_93130441,510,27,412,I17140
118,COIL_94710500,512,31,401,I56000
119,COIL_97580730,472,39,411,T01260
120,COIL_93310681,486,31,406,I17016
121,COIL_97730790,391,38,322,K01002
122,COIL_91270741,464,34,421,I17007
123,COIL_91980551,528,26,389,I09504
124,COIL_97640231,305,46,248,TCA001
125,COIL_97630221,364,32,300,T01382
126,COIL_95170530,514,32,428,T01009
127,COIL_91151121,528,30,445,D06005
128,COIL_90411121,520,30,362,I09504
129,COIL_93130190,303.5295,46.3187,240.0612,T01118
130,COIL_97900341,475,30,344,I17003
131,COIL_95650191,311,43,243,T01087
132,COIL_88010021,348,41,262,T01018
133,COIL_93310351,373,40,287,K01003
134,COIL_93440430,562,25,454,T16002
135,COIL_91290762,472,35,377,J10007
136,COIL_95360581,405,42,319,T01099
137,COIL_92010831,482,36,414,T01049
138,COIL_93220260,560,28,482,E13001
139,COIL_91270291,341,42,279,S33001
140,COIL_91850111,310,46,252,T01283
141,COIL_93240170,314,45,256,TCA001
142,COIL_88990251,301,47,249,T01560
143,COIL_87860622,451,30,372,I45001
144,COIL_94100611,366,38,302,I09499
145,COIL_95920620,379,39,308,I11496
146,COIL_88670402,488,28,416,I17021
147,COIL_91010111,310,46,246,T01118
148,COIL_88920801,526,28,408,A19001
149,COIL_92550551,497,28,388,I17140
150,COIL_95090492,504,30,408,I56001
151,COIL_96680642,456,31,328,I17140
152,COIL_88620381,339,38,262,T01382
153,COIL_91740201,337,40,255,T01202
154,COIL_92160021,388,41,318,I11496
155,COIL_90710312,368,36,279,I09500
156,COIL_95030481,365,38,276,I11496
157,COIL_88960101,372,36,327,T01063
158,COIL_89520411,513,31,412,A19001
159,COIL_90840191,309,46,246,T01087
160,COIL_97830471,365,38,282,I09499
161,COIL_97860350,439,30,375,I17020
162,COIL_90830650,375,42,297,T01065
163,COIL_95220191,312,47,269,T01560
164,COIL_91950821,481,35,387,J10007
165,COIL_90600732,390,42,306,I11496
166,COIL_97210641,439,32,377,E07000
167,COIL_91251031,549,28,467,E13001
168,COIL_92550882,473,37,390,J10007
169,COIL_93810161,406,35,359,JCA001
170,COIL_91910491,441,29,360,E07000
171,COIL_95540251,395,40,344,K01002
172,COIL_97350701,475,36,417,T01049
173,COIL_92120351,463,27,344,I17004
174,COIL_88210502,399,41,328,I11496
175,COIL_92750141,306,47,262,T01262
176,COIL_90470231,358,38,279,T01244
177,COIL_94780081,348,37,269,T01018
178,COIL_93270381,531,26,465,E13001
179,COIL_94600201,363,38,290,I09499
180,COIL_95150940,582,24,380,S02028
181,COIL_97620701,487,37,395,J10004
182,COIL_93000161,350,40,270,T01244
183,COIL_93910531,365,38,289,I09499
184,COIL_92080581,531,30,428,A19001
185,COIL_96430261,302,46,239,T01118
186,COIL_92940191,335,42,251,I09499
187,COIL_95560410,373,38,275,T01002
188,COIL_96610250,320,47,278,T01378
189,COIL_95210211,376,36,301,T01382
190,COIL_90930281,346,35,276,T01050
191,COIL_91261131,527,25,449,T01158
192,COIL_87660651,482,30,412,I17016
193,COIL_91020161,367,36,311,T01382
194,COIL_90060611,364,40,280,THB001
195,COIL_93420530,467,36,408,I17473
196,COIL_97300681,361,38,283,THB001
197,COIL_90760251,376,38,331,THB001
198,COIL_87700041,359,41,291,T01018
199,COIL_90480171,318,44,251,T01118
200,COIL_90090111,312,46,249,TCA001
201,COIL_97591151,559,26,493,D06005
202,COIL_90310231,312,44,247,TCA001
203,COIL_95660232,305,45,243,T01118
204,COIL_87790431,462,32,375,I17007
205,COIL_87980132,346,45,265,T01018
206,COIL_96130461,470,31,404,I17140
207,COIL_95610221,322,44,252,T01087
208,COIL_96230581,463,40,377,J10007
209,COIL_93370311,306,46,246,TCA001
210,COIL_97170381,373,38,278,I45008
211,COIL_97300530,347,38,273,I09499
212,COIL_94880580,406,36,315,I09500
213,COIL_91600591,402,38,321,I11496
214,COIL_96080351,354,38,272,I09499
215,COIL_97110011,363,40,296,I09499
216,COIL_87620381,354,42,282,T01050
217,COIL_95130011,357,39,295,I09499
218,COIL_89110741,414,38,342,I11496
219,COIL_87690791,469,28,356,I17140
220,COIL_93280171,372,39,291,I09500
221,COIL_97270711,338,40,255,I09499
222,COIL_91230101,345,40,270,THB001
223,COIL_96960741,486,30,427,E08000
224,COIL_88250521,353,45,275,T01018
225,COIL_92390471,363,40,286,THB001
226,COIL_95020541,500,26,421,I17140
227,COIL_94680331,305,46,243,TCA001
228,COIL_93460291,489,28,420,I17016
229,COIL_94720651,398,38,315,I09499
230,COIL_89100532,356,39,272,T01050
231,COIL_87610141,307,46,258,T01262
232,COIL_96010741,487,36,432,T01557
233,COIL_89430131,318,46,280,T01378
234,COIL_95510740,367,39,284,I09499
235,COIL_96670051,366,40,301,THB001
236,COIL_93610521,397,40,320,I09499
237,COIL_90780711,551,28,462,I56000
238,COIL_92070081,316,45,257,T01378
239,COIL_91850791,341,40,262,J06005
240,COIL_92821101,470,32,359,I17007
241,COIL_93690411,390,36,329,K01002
242,COIL_90210361,449,30,379,I17020
243,COIL_90830131,307,46,242,TCA001
244,COIL_87850801,497,36,425,T01049
245,COIL_92380191,339,39,274,T01050
246,COIL_88920471,570,23,507,I17140
247,COIL_88220831,649,20,493,T13515
248,COIL_91530191,317,45,247,T01283
249,COIL_89770641,522,31,470,I17140
250,COIL_91940701,498,27,425,TCA003
251,COIL_96950111,304,45,240,T01283
252,COIL_91100921,482,30,426,I17007
253,COIL_96370191,366,39,294,T01382
254,COIL_94920251,349,41,273,T01244
255,COIL_95600701,482,40,378,J10007
256,COIL_91110311,567,24,509,A20001
257,COIL_94620051,368,39,278,I09499
258,COIL_89470221,452,25,330,I17472
259,COIL_95010311,455,30,378,I17016
260,COIL_92460671,365,40,300,THB001
261,COIL_89480101,306,42,223,T01381
262,COIL_95980761,543,27,408,I17007
263,COIL_93990471,508,37,438,T01049
264,COIL_90580561,379,39,305,I11498
265,COIL_95380311,363,40,287,T01018
266,COIL_89800530,509,32,446,I17021
267,COIL_93780381,380,41,312,K01003
268,COIL_90810771,513,29,438,T01009
269,COIL_93230260,302,45,240,TCA001
270,COIL_95150121,346,40,287,T01244
271,COIL_94090820,412,32,322,I09499
272,COIL_89550321,530,25,471,E13001
273,COIL_95340131,388,38,323,T01382
274,COIL_91130221,305,46,243,TCA001
275,COIL_89390231,314,45,247,TCA001
276,COIL_97710471,348,39,256,I09499
277,COIL_87820501,529,24,476,I17007
278,COIL_95200921,595,30,522,E13001
279,COIL_90050641,477,36,412,T01049
280,COIL_97511001,360,38,289,T01018
281,COIL_96220461,456,28,330,I17140
282,COIL_90010621,750,15,714,Q17005
283,COIL_87690671,497,25,441,I17140
284,COIL_95900651,361,38,305,I09499
285,COIL_93230190,312,45,251,TCA001
286,COIL_94910581,460,38,371,J10007
287,COIL_94210581,352,37,287,THB001
288,COIL_91060281,372,37,284,T01244
289,COIL_89050651,490,33,412,T01009
290,COIL_89200501,339,42,253,T01244
291,COIL_97920641,372,40,291,I09499
292,COIL_92060551,486,29,422,I17021
293,COIL_94710261,341,42,248,I09499
294,COIL_90940311,384,38,305,I09500
295,COIL_90920621,1042,11,690,T13178
296,COIL_96390111,313,47,270,T01378
297,COIL_91610341,502,26,359,I09504
298,COIL_88270551,456,32,342,I17140
299,COIL_97100461,380,32,303,T01002
300,COIL_88800381,318,46,280,T01378
301,COIL_88860461,388,36,329,K01002
302,COIL_92480231,308,45,231,T01381
303,COIL_91980612,551,31,492,D06010
304,COIL_95490111,339,39,278,T01244
305,COIL_89360282,360,41,286,T01018
306,COIL_95140181,313,45,265,T01378
307,COIL_95230222,317,46,277,T01560
308,COIL_97471451,451,34,369,I17140
309,COIL_97241221,453,30,344,I17140
310,COIL_88810521,498,30,361,I09504
311,COIL_95540100,314,46,247,T01087
312,COIL_96790691,433,34,367,I45001
313,COIL_95580170,360,39,305,T01063
314,COIL_88270081,391,37,306,I09500
315,COIL_96420881,554,25,482,A20001
316,COIL_90730762,485,25,369,I17022
317,COIL_96880652,598,24,529,E13001
318,COIL_88990111,321,45,288,T01560
319,COIL_89060260,371,36,273,I09500
320,COIL_93240431,527,27,465,E13001
321,COIL_89850831,483,34,400,J10004
322,COIL_90460161,311,45,248,T01283
323,COIL_96421132,512,29,404,I56001
324,COIL_94950230,467,26,347,I17007
325,COIL_96980020,358,39,286,T01018
326,COIL_89820401,365,41,298,T01382
327,COIL_91010651,559,24,492,A20001
328,COIL_97220820,463,40,379,J10007
329,COIL_95200691,464,32,338,I17004
330,COIL_88120261,361,41,278,T01244
331,COIL_90890792,576,22,508,E13001
332,COIL_88310261,306,46,245,T01560
333,COIL_91520531,461,40,410,T01557
334,COIL_97550881,492,36,418,J10004
335,COIL_95030701,609,15,427,T13515
336,COIL_92260201,415,38,324,THP001
337,COIL_96200371,380,39,270,T01070
338,COIL_95930100,312,46,263,T01378
339,COIL_96500681,340,42,259,T01018
340,COIL_90000641,499,30,432,I17016
341,COIL_96751301,473,25,332,I09504
342,COIL_96070350,423,34,316,T01514
343,COIL_91560711,1025,9,646,T13178
344,COIL_97071401,483,40,427,T01260
345,COIL_88410521,341,44,257,J06005
346,COIL_97650261,312,45,250,TCA001
347,COIL_95160211,311,46,272,T01560
348,COIL_93950581,479,31,427,I17140
349,COIL_97341182,458,33,386,I17016
350,COIL_89950681,467,31,341,I17140
351,COIL_90660192,364,40,283,T01018
352,COIL_90910101,311,46,262,T01560
353,COIL_97230651,447,34,361,NHA002
354,COIL_88560521,540,26,459,T01158
355,COIL_92620381,498,28,415,I17016
356,COIL_96250172,368,36,298,T01382
357,COIL_93530021,372,38,308,I09499
358,COIL_94390350,468,29,361,A12007
359,COIL_93780401,386,42,312,I09500
360,COIL_89920701,557,24,500,I17140
361,COIL_95840371,383,38,301,I09499
362,COIL_89160761,391,34,309,I09500
363,COIL_96790521,602,25,521,A20001
364,COIL_97340711,577,25,514,E13001
365,COIL_87601041,497,30,426,I17016
366,COIL_91360291,311,46,245,T01118
367,COIL_96830281,334,39,258,T01018
368,COIL_88940021,384,40,306,THB002
369,COIL_92740641,430,35,335,T01049
370,COIL_96610111,320,45,275,T01378
371,COIL_92970562,472,31,359,I17003
372,COIL_93400201,307,46,250,T01381
373,COIL_96840700,474,28,420,E08000
374,COIL_93050771,437,36,363,I17007
375,COIL_91410622,471,26,356,I17140
376,COIL_94680470,385,37,303,T01002
377,COIL_96550170,387,37,306,T01382
378,COIL_93740551,371,38,301,THB002
379,COIL_96720731,344,40,258,I09499
380,COIL_96760711,460,40,389,J10007
381,COIL_92210411,452,28,337,I17003
382,COIL_94830541,581,26,506,THB004
383,COIL_96750941,333,36,266,I09499
384,COIL_97360021,362,37,287,T01002
385,COIL_93660941,425,32,349,I09500
386,COIL_91320231,338,38,248,THB005
387,COIL_95070721,433,40,364,J10002
388,COIL_95310711,456,36,379,I17140
389,COIL_88340700,405,36,327,T01099
390,COIL_87810582,507,34,434,T01049
391,COIL_88930832,358,41,266,T01018
392,COIL_96940530,560,25,504,E13002
393,COIL_97690910,456,30,383,I17016
394,COIL_93600291,313,46,249,TCA001
395,COIL_92710741,541,24,479,E13001
396,COIL_88050641,517,25,457,I17140
397,COIL_94900721,404,36,301,I09500
398,COIL_91650221,367,38,312,T01063
399,COIL_91920531,335,48,248,T01244
400,COIL_90180561,555,25,498,E13002
401,COIL_93980411,566,35,499,D06010
402,COIL_95130751,591,25,526,E13001
403,COIL_93930172,424,32,315,I17472
404,COIL_91240771,493,28,422,I17007
405,COIL_93091000,487,31,367,I17023
406,COIL_91150591,403,33,304,T01002
407,COIL_96140771,476,35,410,T01557
408,COIL_89400111,312,46,247,T01118
409,COIL_96960220,352,42,285,T01018
410,COIL_91930341,338,37,250,Q02001
411,COIL_94800311,364,40,291,T01244
412,COIL_88870821,577,25,507,E13001
413,COIL_95640261,352,40,263,I09499
414,COIL_91390281,314,44,255,T01283
415,COIL_97430191,318,45,273,T01378
416,COIL_90360410,455,28,386,I09502
417,COIL_97760561,432,33,365,T01586
418,COIL_94220371,355,37,287,THB001
419,COIL_95320491,448,32,381,I17020
420,COIL_87680611,497,36,440,I17007
421,COIL_87920411,600,28,523,D06005
422,COIL_97540971,396,37,320,I09499
423,COIL_94120681,430,30,307,I17140
424,COIL_88170491,486,31,367,I17140
425,COIL_88600612,468,33,403,I45010
426,COIL_88620141,335,40,249,T01382
427,COIL_95080660,482,29,423,I17016
428,COIL_89000762,432,34,375,I17020
429,COIL_91130142,307,46,249,TCA001
430,COIL_87880621,465,34,380,J10007
431,COIL_87600251,308,45,247,TCA001
432,COIL_92050261,308,42,251,T01381
433,COIL_94700461,342,40,264,T01018
434,COIL_94270171,304,46,239,T01118
435,COIL_88190732,408,36,334,I11496
436,COIL_94180141,312,46,246,T01118
437,COIL_95540011,349,40,294,I09499
438,COIL_93630261,350,42,279,T01382
439,COIL_91330711,472,37,397,J10004
440,COIL_92010281,354,42,264,T01051
441,COIL_94690480,384,35,312,T01002
442,COIL_93930820,483,30,424,E08000
443,COIL_92120191,303,46,242,T01087
444,COIL_91620471,413,36,339,T01099
445,COIL_90620731,492,32,427,E08000
446,COIL_90690321,404,38,334,T01046
447,COIL_94630111,345,39,243,I09499
448,COIL_88800161,314,44,250,T01087
449,COIL_88690281,490,30,420,I17021
450,COIL_87890561,596,25,532,I17140
451,COIL_92860341,431,30,356,I17021
452,COIL_97660561,392,37,320,T01099
453,COIL_89340251,358,39,278,T01018
454,COIL_94420700,555,25,504,E13002
455,COIL_88870711,568,26,497,E13001
456,COIL_89520251,306,46,243,TCA001
457,COIL_89500761,553,25,486,E13001
458,COIL_97370140,306,45,204,T01118
459,COIL_97790621,441,28,372,I17016
460,COIL_92940351,338,37,244,I09499
461,COIL_94870261,343,41,277,T01018
462,COIL_89630141,364,43,285,I11497
463,COIL_92581011,1051,11,721,T13178
464,COIL_94170171,349,41,274,T01018
465,COIL_93680611,536,27,447,T01009
466,COIL_96220141,367,40,297,T01382
467,COIL_88620851,419,36,355,T01099
468,COIL_89760291,372,35,322,T01063
469,COIL_94080461,392,39,324,I11496
470,COIL_97290800,472,38,392,TCA003
471,COIL_95390460,382,41,318,K01002
472,COIL_87700202,374,40,318,T01382
473,COIL_97920321,523,29,466,E13001
474,COIL_90170191,322,42,256,T01381
475,COIL_97310471,582,27,507,E13001
476,COIL_97470021,365,40,297,T01244
477,COIL_93210251,513,32,440,I17140
478,COIL_97880351,411,35,354,I09500
479,COIL_93380131,309,45,248,T01283
480,COIL_91910822,442,31,368,I45010
481,COIL_90160342,584,24,505,A20001
482,COIL_97620621,449,28,368,I17007
483,COIL_97530431,353,40,276,I11497
484,COIL_92650251,374,37,302,T01244
485,COIL_96390251,330,44,246,T01313
486,COIL_97500820,344,40,255,J06005
487,COIL_88300111,311,47,269,T01378
488,COIL_95840171,509,30,415,A19001
489,COIL_96480941,340,41,257,J06005
490,COIL_94830932,965,13,661,T13422
491,COIL_97780291,312,46,257,T01087
492,COIL_93540260,540,27,480,A20001
493,COIL_87980852,480,29,369,I17007
494,COIL_95500380,449,37,385,E07000
495,COIL_92580761,1068,14,721,T13178
496,COIL_96970651,334,39,266,T01244
497,COIL_96780161,358,38,289,T01018
498,COIL_95910280,380,40,288,I11496
499,COIL_87870401,491,34,398,J10004
500,COIL_97060891,353,44,284,I09499
501,COIL_93920651,343,40,274,I09499
502,COIL_97840370,446,27,366,I17016
503,COIL_93180851,333,40,249,J06005
504,COIL_89940731,471,30,407,I17007
505,COIL_97670011,350,42,277,I09499
506,COIL_96090891,504,38,438,T01049
507,COIL_92150611,375,38,304,I11498
508,COIL_90460201,307,45,245,TCA001
509,COIL_88790801,491,32,363,I17140
510,COIL_91770171,351,42,281,T01382
511,COIL_96860801,468,34,410,T01049
512,COIL_97471372,456,30,383,I17016
513,COIL_97020561,480,39,420,T01260
514,COIL_90790621,572,21,506,A20001
515,COIL_95190100,348,37,276,T01018
516,COIL_91300401,554,28,477,E13001
517,COIL_88090141,310,43,243,T01087
518,COIL_88700651,438,28,323,I17140
519,COIL_96150080,353,37,279,T01018
520,COIL_96820531,404,35,330,T01099
521,COIL_90710531,392,35,335,K01002
522,COIL_88970311,318,46,286,T01560
523,COIL_92200471,491,28,420,I17140
524,COIL_93690650,490,28,394,T01009
525,COIL_89880291,310,46,248,TCA001
526,COIL_94820702,699,8,441,T13422
527,COIL_90490141,318,44,269,T01378
528,COIL_93750790,528,28,453,T01158
529,COIL_90030191,393,32,338,I09500
530,COIL_94940151,306,45,244,T01087
531,COIL_88400531,401,38,340,T01099
532,COIL_97240521,345,40,259,I09498
533,COIL_96920521,336,43,259,T01018
534,COIL_91230220,319,42,221,T01313
535,COIL_93960171,357,36,285,T01018
536,COIL_92640171,589,23,523,A20001
537,COIL_89140821,1160,9,876,T13422
538,COIL_91850801,448,36,366,NHA002
539,COIL_89700351,353,40,286,T01018
540,COIL_95010552,390,38,320,T01002
541,COIL_90080701,468,29,356,I17007
542,COIL_94830131,314,44,254,TCA001
543,COIL_96210412,490,36,450,T01308
544,COIL_96920291,551,25,484,E13001
545,COIL_89870641,487,29,438,E08000
546,COIL_96110861,364,39,287,I09499
547,COIL_89390172,306,46,244,T01283
548,COIL_91230591,481,35,426,T01557
549,COIL_94600821,340,38,250,I09499
550,COIL_94200141,314,46,250,T01118
551,COIL_95110781,334,40,260,J06005
552,COIL_95730400,382,35,291,T01586
553,COIL_93070161,351,42,278,I09499
554,COIL_93750131,306,46,244,T01087
555,COIL_91340591,370,39,285,K01003
556,COIL_89730021,409,41,349,I11496
557,COIL_95980251,305,45,236,T01560
558,COIL_93320621,385,38,342,K01002
559,COIL_94431071,537,28,472,E13001
560,COIL_87690471,474,28,363,I17140
561,COIL_94850630,471,26,341,I09504
562,COIL_90270131,305,46,240,T01118
563,COIL_94790951,471,26,341,I09504
564,COIL_92830941,523,30,460,T01260
565,COIL_95120820,464,37,372,J10007
566,COIL_96580231,313,47,280,T01378
567,COIL_93320191,345,42,257,T01244
568,COIL_93650561,401,28,311,T01002
569,COIL_89001002,452,30,382,I17020
570,COIL_91380531,379,36,304,I09500
571,COIL_97580671,376,40,306,I09500
572,COIL_97730230,359,39,314,T01382
573,COIL_91260851,536,27,458,I17140
574,COIL_92750401,312,46,251,T01118
575,COIL_96280770,471,28,411,I17016
576,COIL_94370671,478,28,406,I17140
577,COIL_89310761,461,36,384,T01049
578,COIL_89071250,476,28,355,I17140
579,COIL_88000441,451,31,391,I45011
580,COIL_95260811,392,37,326,I11496
581,COIL_88050322,306,43,247,TCA001
582,COIL_94760161,316,45,251,T01087
583,COIL_89730681,375,36,311,I11496
584,COIL_91630411,441,28,326,I17023
585,COIL_93130250,304.9284,45.9977,240.9604,T01087
586,COIL_97340851,597,32,529,I17140
587,COIL_88810321,356,40,271,S33001
588,COIL_88830651,357,38,269,THB001
589,COIL_92000731,392,36,284,T01070
590,COIL_92910312,512,26,410,A19001
591,COIL_96690221,363,38,299,T01382
592,COIL_91820281,376,39,304,K01003
593,COIL_95440560,363,38,287,T01382
594,COIL_94440531,362,40,271,I09499
595,COIL_96540791,482,36,432,T01049
596,COIL_97070790,494,37,398,THB003
597,COIL_90610131,312,45,249,T01118
598,COIL_89200192,305,45,242,T01087
599,COIL_89060711,427,38,358,J10002
600,COIL_88530371,359,40,290,T01018
601,COIL_91570651,1023,9,666,T13178
602,COIL_95920011,373,39,296,I09499
603,COIL_95100181,306,44,241,T01283
604,COIL_96240591,452,32,335,I17140
605,COIL_96760550,334,42,255,J06005
606,COIL_94260820,543,24,479,E13001
607,COIL_90830752,500,26,385,I17007
608,COIL_91010321,313,46,276,T01560
609,COIL_96400791,383,33,312,T01002
610,COIL_94230411,378,39,304,THB001
611,COIL_91860262,348,44,278,T01244
612,COIL_91000911,503,27,431,I17140
613,COIL_91090251,304,47,265,T01262
614,COIL_94270431,354,40,263,TCA002
615,COIL_93950740,474,31,413,E08000
616,COIL_88220611,380,41,310,I11498
617,COIL_90760351,368,40,298,I09499
618,COIL_94010401,595,26,534,I17140
619,COIL_92170641,385,42,312,THB002
620,COIL_93110140,317,46,248,T01381
621,COIL_92340291,357,40,277,T01382
622,COIL_93861091,431,31,323,I17140
623,COIL_97680530,443,32,389,I45011
624,COIL_93330700,489,27,440,I17007
625,COIL_93360021,370,38,295,I09499
626,COIL_94920211,336,40,269,T01018
627,COIL_90210741,579,23,506,E13001
628,COIL_97230490,466,27,356,I17007
629,COIL_97340141,312,45,251,T01118
630,COIL_90090831,474,30,381,T01582
631,COIL_89930611,470,31,398,I17140
632,COIL_89151062,1058,11,681,T13178
633,COIL_90410021,368,42,293,T01244
634,COIL_92230011,412,33,322,I09500
635,COIL_96810641,366,37,301,I09499
636,COIL_93370131,305,46,241,T01283
637,COIL_93970640,459,29,397,I17020
638,COIL_91240201,307,46,243,T01118
639,COIL_95610501,370,37,302,I09499
640,COIL_91261071,565,29,487,E13001
641,COIL_93200470,481,36,399,J10004
642,COIL_94600071,339,42,260,I09499
643,COIL_92300231,312,45,252,TCA001
644,COIL_95430221,314,44,250,T01087
645,COIL_97220711,461,38,373,J10007
646,COIL_95020660,487,28,417,E08000
647,COIL_96050370,422,30,356,E07000
648,COIL_91180131,325,44,267,T01381
649,COIL_88140531,474,32,356,I09504
650,COIL_97310732,1046,11,708,T13178
651,COIL_93080490,368,42,291,I09499
652,COIL_88730161,327,40,225,T01202
653,COIL_93150291,532,29,465,E13001
654,COIL_87591091,517,28,464,TCA003
655,COIL_91780191,560,24,494,E13001
656,COIL_92590831,477,36,398,J10004
657,COIL_97570711,361,39,270,I09499
658,COIL_96230621,457,30,338,I17140
659,COIL_93730561,366,39,300,I09499
660,COIL_93820500,563,32,502,E13001
661,COIL_97140380,476,28,359,I17007
662,COIL_91560862,1101,9,758,T13178
663,COIL_95370081,347,38,280,T01018
664,COIL_87610401,416,41,363,T01586
665,COIL_94680101,333,37,258,I09499
666,COIL_88150341,509,30,427,E08000
667,COIL_93010551,388,40,328,K01002
668,COIL_91470401,303,46,240,T01118
669,COIL_89190171,356,40,290,T01244
670,COIL_92210381,579,27,509,I17140
671,COIL_95860351,401,34,331,T01586
672,COIL_89700312,368,36,306,T01018
673,COIL_89150821,350,41,278,T01571
674,COIL_88730291,393,37,315,T01099
675,COIL_88470671,487,34,398,J10004
676,COIL_94720281,308,46,247,T01087
677,COIL_96300041,368,39,288,T01018
678,COIL_96790812,346,42,272,J06005
679,COIL_92630231,349,37,253,I09499
680,COIL_93580491,351,42,276,T01244
681,COIL_94160791,355,41,278,T01403
682,COIL_97161211,442,30,358,I17140
683,COIL_92320161,384,36,322,T01586
684,COIL_90210191,304,46,243,T01118
685,COIL_90590672,350,42,277,T01051
686,COIL_97080411,406,36,334,K01002
687,COIL_94800551,559,33,497,THB004
688,COIL_88950141,364,39,313,T01063
689,COIL_88320491,350,42,274,T01018
690,COIL_95130221,308,46,249,T01560
691,COIL_94380382,461,34,378,J10007
692,COIL_95140231,322,46,282,T01560
693,COIL_96130160,312,46,259,T01560
694,COIL_96300591,552,27,495,I17140
