,Coil_Number,UTS,EL,LYS,AIM_QLTY
22016,COIL_96200800,463,39,374,J10007
22017,COIL_94890261,436,30,298,I17140
22018,COIL_93900130,369,37,319,T01063
22019,COIL_92310651,675,24,576,THS001
22020,COIL_95320370,406,37,289,I09500
22021,COIL_94970121,306,46,241,T01283
22022,COIL_94670430,385,40,316,K01002
22023,COIL_88650491,490,30,361,I09504
22024,COIL_97610141,305,46,243,T01087
22025,COIL_96591181,355,39,286,I09499
22026,COIL_93310621,485,30,406,I17016
22027,COIL_90300261,308,46,244,TCA001
22028,COIL_97330501,468,29,354,I17140
22029,COIL_93190710,349,38,279,THB001
22030,COIL_92040131,364,40,314,T01063
22031,COIL_89190252,485,27,387,I17140
22032,COIL_92210201,303,47,242,T01087
22033,COIL_89470172,478,26,359,I17472
22034,COIL_93520861,354,38,277,I09499
22035,COIL_94550311,305,47,242,T01283
22036,COIL_88940351,308,46,258,T01560
22037,COIL_88730531,359,40,279,T01018
22038,COIL_88710442,481,34,422,I17007
22039,COIL_96930351,350,37,255,I09499
22040,COIL_95940101,303,42,241,T01118
22041,COIL_87680021,336,44,258,T01244
22042,COIL_87820381,311,47,274,T01378
22043,COIL_91170261,349,42,290,I11497
22044,COIL_91280651,358,38,302,T01050
22045,COIL_91080971,552,27,494,E13001
22046,COIL_88420551,367,41,297,T01018
22047,COIL_93250590,377,41,297,I11498
22048,COIL_92430621,514,27,439,T01158
22049,COIL_96800281,306,47,244,T01087
22050,COIL_91650471,411,38,336,THA002
22051,COIL_93060461,388,35,321,K01002
22052,COIL_92530671,479,37,389,J10007
22053,COIL_93980221,464,29,393,I17140
22054,COIL_91140251,410,34,351,T01559
22055,COIL_97121191,561,27,495,E13001
22056,COIL_97530731,359,40,283,I09499
22057,COIL_90050592,370,42,296,I11496
22058,COIL_93260850,399,37,316,I09500
22059,COIL_96820252,384,37,318,K01002
22060,COIL_96800130,332,45,280,T01378
22061,COIL_96510071,357,40,270,T01244
22062,COIL_88590171,418,37,352,T01559
22063,COIL_90040612,458,32,383,I17007
22064,COIL_94800901,1031,10,678,T13178
22065,COIL_90630021,348,41,278,I09499
22066,COIL_94870581,373,37,289,I09499
22067,COIL_97560771,455,38,365,TCA003
22068,COIL_95880771,361,35,299,I09499
22069,COIL_87800762,465,31,341,I17140
22070,COIL_96970311,408,38,343,K01002
22071,COIL_91660131,305,46,241,TCA001
22072,COIL_89590161,321,45,270,T01378
22073,COIL_95030111,312,43,257,T01087
22074,COIL_97670552,410,35,345,K01002
22075,COIL_94590190,312,46,250,T01118
22076,COIL_89850671,384,39,307,I11498
22077,COIL_91620191,305,46,241,T01118
22078,COIL_96930820,356,36,277,THB001
22079,COIL_95230710,461,41,380,J10004
22080,COIL_90950761,349,40,254,I09499
22081,COIL_92050411,589,25,519,E13001
22082,COIL_93560670,377,34,297,I09499
22083,COIL_90270731,331,42,252,J06005
22084,COIL_88330131,325,39,250,T01087
22085,COIL_97550201,355,39,276,T01382
22086,COIL_97370281,309,46,255,T01560
22087,COIL_92150681,395,38,313,I11498
22088,COIL_97661301,481,30,414,I17016
22089,COIL_92800321,365,40,285,I09499
22090,COIL_91620221,306,46,241,T01118
22091,COIL_91800861,399,35,313,I11496
22092,COIL_87770171,323,41,268,T01118
22093,COIL_89540552,667,21,550,T16013
22094,COIL_89560461,486,35,416,T01049
22095,COIL_93540701,357,37,293,I09499
22096,COIL_96310370,582,34,513,A20001
22097,COIL_89260261,425,29,359,I09500
22098,COIL_89680741,501,29,448,I17021
22099,COIL_97460021,377,38,294,I09499
22100,COIL_89640252,306,47,257,T01560
22101,COIL_95630141,591,28,530,I17140
22102,COIL_88590822,462,28,381,I17016
22103,COIL_88500611,395,32,318,T01002
22104,COIL_88970381,522,24,461,I17474
22105,COIL_90080462,381,39,316,I11496
22106,COIL_87640371,485,26,422,I17021
22107,COIL_93880250,378,40,312,K01003
